what,kind,bundleId,bundleVersion,description,time
error,log,,,"Operation details",1384978635425
error,log,,,"Operation details",1384978643397
error,log,,,"Operation details",1384978643401
error,log,,,"Operation details",1384978649839
error,log,,,"Operation details",1384978649842
error,log,,,"Operation details",1384978664110
error,log,,,"Operation details",1384978664118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384978665148
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1384978665175
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1384978667473
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1384978667512
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1384978667703
closed,editor,,,"org.eclipse.cdt.ui.editor.CEditor",1384978667707
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1384978667943
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: No editor descriptor for id org.eclipse.cdt.ui.editor.CEditor",1384978668467
opened,editor,,,"org.eclipse.cdt.ui.editor.CEditor",1384978668482
opened,editor,,,"org.eclipse.cdt.ui.editor.CEditor",1384978668486
activated,editor,,,"org.eclipse.cdt.ui.editor.CEditor",1384978668591
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1384978669204
closed,editor,,,"org.eclipse.cdt.ui.editor.CEditor",1384978669204
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1384978670625
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1384978670672
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1384978670672
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1384978671588
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1384978671589
error,log,,,"Provisioning exception",1384978674101
error,log,,,"Provisioning exception",1384978674102
error,log,,,"Provisioning exception",1384978674106
error,log,,,"Some sites could not be found.  See the error log for more detail.",1384978674109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384978674341
